state,n,Leg_Control
Utah,3,Rep
Colorado,2,Dem
Florida,2,Rep
Georgia,2,Rep
Indiana,2,Rep
Louisiana,2,Rep
Maryland,2,Dem
Tennessee,2,Rep
Virginia,2,Dem
Alabama,1,Rep
Idaho,1,Rep
Kansas,1,Rep
Kentucky,1,Rep
Minnesota,1,Divided
Mississippi,1,Rep
Nebraska,1,Unicameral
Oklahoma,1,Rep
South Carolina,1,Rep
West Virginia,1,Rep
